n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,precision,recall,f1,tp,fp,fn
2,1,5,2,5,2,1e-05,0.030040545521562847,0.815,0.057945254177035194,163,5263,37
2,1,5,2,5,3,0.01,0.01177093755517627,1.0,0.02326798906404514,200,16791,0
2,1,5,2,5,3,0.003,0.016753568681083852,0.98,0.032943944869316746,196,11503,4
2,1,5,2,5,3,0.001,0.021588366890380312,0.965,0.04223194748358862,193,8747,7
2,1,5,2,5,3,0.0003,0.025689561925365062,0.95,0.050026329647182725,190,7206,10
2,1,5,2,5,3,0.0001,0.027391041162227604,0.905,0.053172737955346654,181,6427,19
2,1,5,2,5,3,3e-05,0.02829398961995647,0.845,0.054754576381014095,169,5804,31
2,1,5,2,5,3,1e-05,0.029143897996357013,0.8,0.056239015817223195,160,5330,40
3,1,1,1,5,2,0.01,0.011115685467270481,0.81,0.021930418302423173,162,14412,38
3,1,1,1,5,2,0.003,0.0146325946347153,0.69,0.02865746028449797,138,9293,62
3,1,1,1,5,2,0.001,0.01932367149758454,0.62,0.03747922019041862,124,6293,76
3,1,1,1,5,2,0.0003,0.024939306996248068,0.565,0.04777002747833439,113,4418,87
3,1,1,1,5,2,0.0001,0.028556178275954098,0.535,0.054218393716746895,107,3640,93
3,1,1,1,5,2,3e-05,0.031127228770021154,0.515,0.058706184098033624,103,3206,97
3,1,1,1,5,2,1e-05,0.032021347565043365,0.48,0.060037523452157605,96,2902,104
3,1,1,1,5,3,0.01,0.01050475687103594,0.795,0.020735524256651018,159,14977,41
3,1,1,1,5,3,0.003,0.012695600826690287,0.645,0.024901071325161665,129,10032,71
3,1,1,1,5,3,0.001,0.016702663786897047,0.58,0.0324702589223233,116,6829,84
3,1,1,1,5,3,0.0003,0.0222858311183807,0.545,0.042820663916715775,109,4782,91
3,1,1,1,5,3,0.0001,0.026625704045058884,0.52,0.050657574281539205,104,3802,96
3,1,1,1,5,3,3e-05,0.030032708890871247,0.505,0.05669379736177378,101,3262,99
3,1,1,1,5,3,1e-05,0.03319093000328623,0.505,0.06228800493370337,101,2942,99
3,1,1,2,5,2,0.01,0.011607028344234962,0.905,0.02292009623907813,181,15413,19
3,1,1,2,5,2,0.003,0.016157120743034055,0.835,0.03170083523158694,167,10169,33
3,1,1,2,5,2,0.001,0.02006872852233677,0.73,0.03906354515050167,146,7129,54
3,1,1,2,5,2,0.0003,0.024785687663063733,0.665,0.047790154509522086,133,5233,67
3,1,1,2,5,2,0.0001,0.02723822281759321,0.61,0.052147894849326776,122,4357,78
3,1,1,2,5,2,3e-05,0.02863659401926001,0.565,0.054510371442354086,113,3833,87
3,1,1,2,5,2,1e-05,0.030420353982300884,0.55,0.057651991614255764,110,3506,90
3,1,1,2,5,3,0.01,0.011494252873563218,0.925,0.022706351641607853,185,15910,15
3,1,1,2,5,3,0.003,0.01464834864889455,0.805,0.028773121258153875,161,10830,39
3,1,1,2,5,3,0.001,0.01789853206283801,0.695,0.03489831785086618,139,7627,61
3,1,1,2,5,3,0.0003,0.021314387211367674,0.6,0.0411663807890223,120,5510,80
3,1,1,2,5,3,0.0001,0.025142107564494972,0.575,0.048177628822790114,115,4459,85
3,1,1,2,5,3,3e-05,0.027721774193548387,0.55,0.052783109404990404,110,3858,90
3,1,1,2,5,3,1e-05,0.029371016902188973,0.53,0.0556576529272775,106,3503,94
3,1,2,1,5,2,0.01,0.012216865878623787,0.925,0.024115231701753243,185,14958,15
3,1,2,1,5,2,0.003,0.017434747145187602,0.855,0.0341726618705036,171,9637,29
3,1,2,1,5,2,0.001,0.02146355517142034,0.745,0.0417250070008401,149,6793,51
3,1,2,1,5,2,0.0003,0.025983951089033244,0.68,0.05005520794994479,136,5098,64
3,1,2,1,5,2,0.0001,0.02784584539986634,0.625,0.05331627212625293,125,4364,75
3,1,2,1,5,2,3e-05,0.0286144578313253,0.57,0.05449330783938814,114,3870,86
3,1,2,1,5,2,1e-05,0.030153508771929825,0.55,0.05717255717255718,110,3538,90
3,1,2,1,5,3,0.01,0.01177066194152639,0.93,0.023247094113235847,186,15616,14
3,1,2,1,5,3,0.003,0.015863968842025268,0.835,0.031136384823342966,167,10360,33
3,1,2,1,5,3,0.001,0.019642136418673482,0.73,0.03825494563081357,146,7287,54
3,1,2,1,5,3,0.0003,0.022914757103574702,0.625,0.044208664898320066,125,5330,75
3,1,2,1,5,3,0.0001,0.02538848763405559,0.58,0.0486475152023485,116,4453,84
