n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,tar_thresh,precision,recall,f1,tp,fp,fn
1,1,1,2,5,3,0.0001,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,3,0.0001,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,3,0.0001,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,3,0.0001,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,0.0001,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,3e-05,-9999.0,0.024574669187145556,0.52,0.04693140794223826,104,4128,96
1,1,1,2,5,3,3e-05,-40.0,0.042483660130718956,0.52,0.0785498489425982,104,2344,96
1,1,1,2,5,3,3e-05,-35.0,0.11052072263549416,0.52,0.18229623137598597,104,837,96
1,1,1,2,5,3,3e-05,-30.0,0.13570487483530963,0.515,0.2148070907194995,103,656,97
1,1,1,2,5,3,3e-05,-25.0,0.15772357723577235,0.485,0.2380368098159509,97,518,103
1,1,1,2,5,3,3e-05,-20.0,0.15353535353535352,0.38,0.218705035971223,76,419,124
1,1,1,2,5,3,3e-05,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,3,3e-05,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,3,3e-05,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,3e-05,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,1e-05,-9999.0,0.026687598116169546,0.51,0.050721034311287924,102,3720,98
1,1,1,2,5,3,1e-05,-40.0,0.04340425531914894,0.51,0.08,102,2248,98
1,1,1,2,5,3,1e-05,-35.0,0.11345939933259176,0.51,0.18562329390354868,102,797,98
1,1,1,2,5,3,1e-05,-30.0,0.13630229419703105,0.505,0.2146652497343252,101,640,99
1,1,1,2,5,3,1e-05,-25.0,0.1566068515497553,0.48,0.23616236162361623,96,517,104
1,1,1,2,5,3,1e-05,-20.0,0.15212981744421908,0.375,0.21645021645021648,75,418,125
1,1,1,2,5,3,1e-05,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,3,1e-05,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,3,1e-05,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,3,1e-05,0.0,1.0,0.0,0.0,0,0,200
1,1,2,1,5,2,0.01,-9999.0,0.010122662855781827,0.85,0.020007061315758502,170,16624,30
1,1,2,1,5,2,0.01,-40.0,0.045442395081529,0.85,0.08627251966505962,170,3571,30
1,1,2,1,5,2,0.01,-35.0,0.10757479312539783,0.845,0.1908526256352343,169,1402,31
1,1,2,1,5,2,0.01,-30.0,0.15610217596972564,0.825,0.26252983293556087,165,892,35
1,1,2,1,5,2,0.01,-25.0,0.1728395061728395,0.56,0.2641509433962264,112,536,88
1,1,2,1,5,2,0.01,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,2,1,5,2,0.01,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,2,1,5,2,0.01,-10.0,0.0,0.0,0.0,0,56,200
1,1,2,1,5,2,0.01,-5.0,1.0,0.0,0.0,0,0,200
1,1,2,1,5,2,0.01,0.0,1.0,0.0,0.0,0,0,200
1,1,2,1,5,2,0.003,-9999.0,0.014432800147085862,0.785,0.0283444665102004,157,10721,43
1,1,2,1,5,2,0.003,-40.0,0.046367395156526874,0.785,0.08756274400446179,157,3229,43
1,1,2,1,5,2,0.003,-35.0,0.11418181818181818,0.785,0.19936507936507936,157,1218,43
