tar_thresh,precision,recall,f1,tp,fp,fn
-11.200443267822266,0.007936507936507936,0.005,0.006134969325153374,1,125,199
-11.202142715454102,0.007874015748031496,0.005,0.006116207951070336,1,126,199
-11.24722957611084,0.0078125,0.005,0.0060975609756097554,1,127,199
-11.271782875061035,0.007751937984496124,0.005,0.0060790273556231,1,128,199
-11.3256254196167,0.007692307692307693,0.005,0.00606060606060606,1,129,199
-11.35474681854248,0.007633587786259542,0.005,0.006042296072507553,1,130,199
-11.373298645019531,0.007575757575757576,0.005,0.006024096385542168,1,131,199
-11.391716003417969,0.007518796992481203,0.005,0.006006006006006005,1,132,199
-11.40304946899414,0.007462686567164179,0.005,0.005988023952095809,1,133,199
-11.403322219848633,0.007407407407407408,0.005,0.0059701492537313425,1,134,199
-11.406576156616211,0.007352941176470588,0.005,0.005952380952380954,1,135,199
-11.419829368591309,0.0072992700729927005,0.005,0.005934718100890208,1,136,199
-11.430885314941406,0.007246376811594203,0.005,0.005917159763313609,1,137,199
-11.438766479492188,0.007194244604316547,0.005,0.005899705014749262,1,138,199
-11.503315925598145,0.007142857142857143,0.005,0.005882352941176471,1,139,199
-11.56950569152832,0.0070921985815602835,0.005,0.005865102639296187,1,140,199
-11.60545825958252,0.007042253521126761,0.005,0.0058479532163742695,1,141,199
-11.621097564697266,0.006993006993006993,0.005,0.0058309037900874635,1,142,199
-11.677968978881836,0.006944444444444444,0.005,0.005813953488372093,1,143,199
-11.684489250183105,0.006896551724137931,0.005,0.005797101449275362,1,144,199
-11.762255668640137,0.00684931506849315,0.005,0.005780346820809248,1,145,199
-11.76521110534668,0.006802721088435374,0.005,0.005763688760806916,1,146,199
-11.818099021911621,0.006756756756756757,0.005,0.005747126436781608,1,147,199
-11.834317207336426,0.006711409395973154,0.005,0.0057306590257879654,1,148,199
-11.84603500366211,0.006666666666666667,0.005,0.005714285714285714,1,149,199
-11.871100425720215,0.006622516556291391,0.005,0.005698005698005698,1,150,199
-11.925444602966309,0.006578947368421052,0.005,0.005681818181818181,1,151,199
-11.938343048095703,0.006535947712418301,0.005,0.0056657223796034,1,152,199
-11.943294525146484,0.006493506493506494,0.005,0.005649717514124294,1,153,199
-11.960192680358887,0.0064516129032258064,0.005,0.005633802816901409,1,154,199
-11.965946197509766,0.00641025641025641,0.005,0.005617977528089888,1,155,199
-12.005533218383789,0.006369426751592357,0.005,0.005602240896358544,1,156,199
-12.029620170593262,0.006329113924050633,0.005,0.00558659217877095,1,157,199
-12.036199569702148,0.006289308176100629,0.005,0.0055710306406685246,1,158,199
-12.043319702148438,0.00625,0.005,0.005555555555555556,1,159,199
-12.060462951660156,0.006211180124223602,0.005,0.0055401662049861505,1,160,199
-12.061234474182129,0.006172839506172839,0.005,0.0055248618784530384,1,161,199
-12.069324493408203,0.006134969325153374,0.005,0.005509641873278237,1,162,199
-12.071868896484375,0.006097560975609756,0.005,0.005494505494505496,1,163,199
-12.095975875854492,0.006060606060606061,0.005,0.005479452054794521,1,164,199
-12.103887557983398,0.006024096385542169,0.005,0.005464480874316941,1,165,199
-12.117690086364746,0.005988023952095809,0.005,0.005449591280653952,1,166,199
-12.147332191467285,0.005952380952380952,0.005,0.005434782608695652,1,167,199
-12.224865913391113,0.005917159763313609,0.005,0.005420054200542005,1,168,199
-12.27953815460205,0.0058823529411764705,0.005,0.005405405405405405,1,169,199
-12.297772407531738,0.005847953216374269,0.005,0.005390835579514824,1,170,199
-12.311155319213867,0.005813953488372093,0.005,0.005376344086021505,1,171,199
-12.311681747436523,0.005780346820809248,0.005,0.005361930294906166,1,172,199
-12.367506980895996,0.005747126436781609,0.005,0.0053475935828877,1,173,199
